feature,importance
rot_x_kurt,281.8
acc_world_diff_std,279.8
world_acc_x_min,277.0
acc_world_diff_seg1_to_seg2,274.4
world_acc_y_range,273.2
acc_magnitude_seg1_std,273.2
rot_x_iqr,272.8
rot_y_iqr,272.8
acc_y_delta,272.4
world_acc_z_last,270.2
rot_w_kurt,267.2
acc_y_seg1_mean,266.6
acc_x_seg2_mean,266.4
acc_y_var,264.6
world_acc_x_seg1_mean,264.0
rot_y_seg1_std,262.8
rot_x_seg1_mean,262.2
world_acc_y_seg1_to_seg2,260.0
world_acc_z_diff_std,259.4
rot_w_median,254.0
age,252.2
world_acc_x_delta,252.0
rot_y_seg1_mean,251.6
rot_z_iqr,251.0
acc_y_first,250.2
world_acc_magnitude_time_corr,249.8
world_acc_x_diff_mean,249.6
rot_y_skew,249.2
acc_x_seg1_std,247.6
acc_magnitude_max,245.4
rot_w_delta,244.4
world_acc_x_range,243.0
world_acc_y_diff_mean,241.6
rot_w_mean,240.8
rot_x_diff_mean,240.6
world_acc_y_delta,240.0
world_acc_z_seg1_mean,239.8
world_acc_x_std,239.8
rot_z_range,238.6
world_acc_x_seg2_mean,237.2
world_acc_y_iqr,236.4
world_acc_z_first,235.2
acc_x_diff_mean,233.6
acc_x_delta,233.2
rot_y_kurt,233.0
rot_w_first,231.8
rot_y_first,230.0
world_acc_magnitude_n_changes,229.4
acc_z_var,229.0
acc_magnitude_first,228.8
world_acc_y_seg1_std,227.6
world_acc_x_iqr,226.8
world_acc_magnitude_kurt,226.2
acc_z_iqr,225.6
acc_z_kurt,225.4
rot_y_var,223.2
rot_x_delta,222.0
rot_z_diff_mean,221.0
world_acc_z_range,220.8
acc_z_seg1_mean,220.6
rot_z_seg1_std,218.0
rot_w_seg1_mean,215.4
rot_x_first,215.2
acc_magnitude_diff_std,213.2
rot_w_iqr,211.2
world_acc_magnitude_seg3_mean,211.0
acc_z_q75,211.0
world_acc_z_seg2_mean,207.2
world_acc_z_q25,207.2
world_acc_z_std,205.6
acc_magnitude_q75,205.4
rot_w_q75,204.0
rot_w_seg2_mean,204.0
rot_z_first,203.4
rot_z_delta,202.8
acc_z_first,202.6
acc_magnitude_range,202.2
world_acc_z_iqr,201.2
world_acc_magnitude_min,201.0
rot_y_delta,200.4
height_cm,196.8
world_acc_magnitude_median,196.0
world_acc_magnitude_q25,195.0
rot_y_diff_mean,194.2
acc_magnitude_iqr,193.8
rot_x_seg1_std,190.4
world_acc_magnitude_seg1_to_seg2,188.0
world_acc_x_seg1_std,184.8
world_acc_x_seg1_to_seg2,184.6
world_acc_magnitude_seg1_mean,182.2
acc_magnitude_delta,178.4
world_acc_magnitude_skew,175.4
world_acc_magnitude_last,171.4
world_acc_magnitude_mean,166.8
acc_magnitude_std,162.6
world_acc_z_seg1_to_seg2,162.2
rot_w_var,161.6
world_acc_z_seg1_std,161.4
world_acc_z_delta,160.6
world_acc_magnitude_seg2_mean,160.4
acc_world_diff_var,160.2
world_acc_magnitude_seg2_to_seg3,159.6
world_acc_z_diff_mean,158.2
rot_x_var,157.4
rot_z_var,151.6
acc_magnitude_diff_mean,147.2
world_acc_magnitude_seg2_std,143.0
world_acc_x_var,142.8
world_acc_y_var,138.0
world_acc_magnitude_seg1_std,131.2
world_acc_magnitude_max,129.0
world_acc_magnitude_first,123.0
world_acc_z_var,120.8
shoulder_to_wrist_cm,115.2
elbow_to_wrist_cm,113.4
world_acc_magnitude_diff_std,110.8
world_acc_magnitude_iqr,104.2
world_acc_magnitude_range,104.0
world_acc_magnitude_q75,102.6
world_acc_magnitude_delta,87.2
acc_magnitude_var,77.2
world_acc_magnitude_diff_mean,72.6
acc_world_diff_last,68.8
acc_world_diff_delta,63.8
acc_world_diff_first,46.2
world_acc_magnitude_std,40.8
sex,34.0
